None, 9.39, 168316
None, 9.26, 774964
None, 9.25, 109682
None, 9.17, 656918
None, 9.16, 147732
None, 9.14, 412151
None, 9.10, 78599
None, 9.11, 78925
None, 9.10, 70556
None, 9.09, 74249
None, 9.07, 448538
None, 9.06, 91085
None, 9.05, 329721
None, 8.98, 561219
None, 8.93, 455663
None, 8.92, 169044
None, 8.92, 401088
None, 8.88, 73549
None, 8.84, 219026
None, 8.83, 700281
None, 8.83, 476447
Gintama°: Aizome Kaori-hen, 8.83, 15210
None, 8.83, 154146
None, 8.83, 530318
None, 8.83, 127210
None, 8.81, 200603
None, 8.81, 331770
None, 8.81, 32881
None, 8.81, 235688
None, 8.80, 98900
None, 8.78, 294248
None, 8.78, 552401
None, 8.77, 263607
Hajime no Ippo: New Challenger, 8.75, 87077
None, 8.75, 30924
None, 8.75, 96041
None, 8.74, 326514
None, 8.74, 31168
None, 8.73, 333121
None, 8.73, 242071
Bakuman. 3rd Season, 8.72, 130856
None, 8.72, 992697
None, 8.68, 64880
None, 8.68, 109483
None, 8.67, 166786
None, 8.68, 271907
None, 8.67, 99735
None, 8.67, 94219
None, 8.67, 333891
None, 8.66, 386845
