None, 9.40, 83362
None, 9.26, 738765
None, 9.26, 100863
None, 9.17, 624535
None, 9.16, 141179
None, 9.14, 386027
None, 9.11, 74154
None, 9.11, 66921
None, 9.11, 74869
None, 9.07, 432621
None, 9.05, 317041
None, 8.98, 541030
None, 8.93, 150913
None, 8.93, 435694
None, 8.92, 371933
None, 8.89, 68926
None, 8.85, 484698
None, 8.85, 205742
None, 8.84, 147186
None, 8.84, 123076
None, 8.83, 674327
None, 8.83, 457068
Gintama°: Aizome Kaori-hen, 8.83, 10870
None, 8.82, 226815
None, 8.81, 190894
None, 8.81, 317296
None, 8.80, 94125
None, 8.78, 282796
None, 8.78, 532071
None, 8.77, 254202
None, 8.76, 28132
Hajime no Ippo: New Challenger, 8.75, 83444
None, 8.75, 90388
None, 8.75, 264072
None, 8.74, 317855
None, 8.74, 313937
None, 8.74, 231047
Bakuman. 3rd Season, 8.72, 125730
None, 8.72, 952373
None, 8.69, 61358
None, 8.69, 106289
None, 8.68, 356161
None, 8.67, 147304
None, 8.67, 249278
None, 8.67, 45818
None, 8.67, 93972
None, 8.67, 88670
None, 8.66, 53720
None, 8.66, 27984
None, 8.65, 129685
