None, 9.26, 724824
None, 9.26, 97064
None, 9.17, 611842
None, 9.16, 138586
None, 9.14, 375580
None, 9.11, 72703
None, 9.11, 65427
None, 9.11, 73328
None, 9.08, 426378
None, 9.05, 311927
None, 8.98, 533177
None, 8.93, 144763
None, 8.93, 428254
None, 8.92, 360947
None, 8.89, 67035
None, 8.86, 466911
None, 8.85, 200764
None, 8.84, 144395
None, 8.84, 121403
None, 8.83, 664147
None, 8.83, 449539
None, 8.83, 223352
Gintama°: Aizome Kaori-hen, 8.79, 8528
None, 8.81, 187248
None, 8.81, 311831
None, 8.80, 92158
None, 8.79, 523934
None, 8.78, 278289
None, 8.77, 250429
None, 8.76, 27072
None, 8.76, 238098
Hajime no Ippo: New Challenger, 8.75, 81979
None, 8.75, 88684
None, 8.75, 311899
None, 8.74, 309076
None, 8.74, 226889
Bakuman. 3rd Season, 8.72, 123705
None, 8.72, 936677
None, 8.69, 343965
None, 8.69, 59954
None, 8.69, 104991
None, 8.68, 241786
None, 8.67, 44974
None, 8.67, 92307
None, 8.67, 86480
None, 8.66, 139128
None, 8.66, 52981
None, 8.65, 126716
None, 8.65, 110978
None, 8.65, 104724
