None, 9.39, 153855
None, 9.26, 765553
None, 9.25, 107474
None, 9.17, 648860
None, 9.16, 146046
None, 9.14, 405141
None, 9.11, 77568
None, 9.11, 77916
None, 9.10, 69660
None, 9.07, 444468
None, 9.05, 326606
None, 9.04, 65646
None, 9.04, 84827
None, 8.98, 556063
None, 8.93, 450625
None, 8.92, 164076
None, 8.92, 393771
None, 8.88, 72400
None, 8.84, 29454
None, 8.84, 152393
None, 8.84, 215817
None, 8.83, 693656
None, 8.83, 471711
None, 8.83, 518795
None, 8.83, 126152
Gintama°: Aizome Kaori-hen, 8.81, 14323
None, 8.82, 233429
None, 8.81, 197976
None, 8.81, 328158
None, 8.80, 97773
None, 8.78, 291479
None, 8.78, 547048
None, 8.77, 261308
Hajime no Ippo: New Challenger, 8.75, 86167
None, 8.75, 30274
None, 8.75, 94778
None, 8.74, 329318
None, 8.74, 323440
None, 8.73, 239254
Bakuman. 3rd Season, 8.72, 129399
None, 8.72, 981846
None, 8.70, 29300
None, 8.69, 63984
None, 8.69, 321863
None, 8.68, 108709
None, 8.67, 161859
None, 8.67, 265838
None, 8.67, 98372
None, 8.67, 92855
None, 8.66, 378969
