None, 9.27, 88464
None, 9.26, 697009
None, 9.17, 586009
None, 9.16, 133156
None, 9.14, 354662
None, 9.11, 62375
None, 9.10, 70178
None, 9.09, 69926
None, 9.08, 413417
None, 9.05, 301243
None, 8.99, 517342
None, 8.95, 32926
None, 8.94, 131842
None, 8.93, 413154
None, 8.93, 338013
None, 8.89, 63320
None, 8.88, 429378
None, 8.85, 191346
None, 8.85, 118100
None, 8.84, 643870
None, 8.84, 139101
None, 8.83, 434168
None, 8.83, 216457
None, 8.82, 300614
None, 8.81, 179428
None, 8.79, 507217
None, 8.78, 242982
None, 8.78, 268685
None, 8.78, 88268
Hajime no Ippo: New Challenger, 8.76, 79195
None, 8.75, 299696
None, 8.75, 85673
None, 8.74, 299419
None, 8.74, 218527
None, 8.73, 904392
Bakuman. 3rd Season, 8.72, 119514
None, 8.72, 315657
None, 8.71, 88101
None, 8.70, 102437
None, 8.69, 57240
None, 8.69, 25054
None, 8.68, 226546
None, 8.68, 81759
None, 8.67, 51559
None, 8.67, 89183
None, 8.67, 175900
None, 8.66, 43204
None, 8.66, 121042
None, 8.66, 106056
None, 8.65, 154144
