None, 9.28, 87545
None, 9.26, 694311
None, 9.17, 583536
None, 9.16, 132609
None, 9.14, 352455
None, 9.11, 62101
None, 9.11, 69866
None, 9.09, 69727
None, 9.08, 412108
None, 9.05, 300204
None, 8.99, 515816
None, 8.94, 130518
None, 8.93, 411763
None, 8.93, 335781
None, 8.90, 62951
None, 8.88, 425591
None, 8.85, 190456
None, 8.85, 117795
None, 8.84, 641908
None, 8.84, 138613
None, 8.83, 432673
None, 8.83, 215760
None, 8.82, 299529
None, 8.81, 178721
None, 8.79, 87926
None, 8.79, 505590
None, 8.78, 242269
None, 8.78, 267841
None, 8.77, 77746
Hajime no Ippo: New Challenger, 8.76, 78923
None, 8.75, 298416
None, 8.75, 85390
None, 8.74, 298443
None, 8.74, 217709
None, 8.73, 312676
None, 8.73, 901206
Bakuman. 3rd Season, 8.72, 119055
None, 8.70, 102206
None, 8.69, 56985
None, 8.69, 24872
None, 8.68, 224941
None, 8.68, 81375
None, 8.67, 51440
None, 8.67, 88878
None, 8.67, 170451
None, 8.66, 43053
None, 8.66, 120566
None, 8.66, 105615
None, 8.65, 153156
Tengen Toppa Gurren Lagann Movie: Lagann-hen, 8.65, 73336
