None, 9.39, 166918
None, 9.26, 774312
None, 9.25, 109460
None, 9.17, 656337
None, 9.16, 147569
None, 9.14, 411500
None, 9.11, 78512
None, 9.11, 78837
None, 9.10, 70490
None, 9.09, 73611
None, 9.07, 448284
None, 9.07, 90533
None, 9.05, 329520
None, 8.98, 560859
None, 8.93, 455235
None, 8.92, 168705
None, 8.92, 400565
None, 8.88, 73457
None, 8.84, 218812
None, 8.83, 699853
None, 8.83, 476033
Gintama°: Aizome Kaori-hen, 8.83, 15155
None, 8.83, 153979
None, 8.83, 529325
None, 8.83, 127127
None, 8.81, 200439
None, 8.81, 331453
None, 8.81, 32687
None, 8.81, 235514
None, 8.80, 98786
None, 8.78, 294015
None, 8.78, 552070
None, 8.77, 263471
Hajime no Ippo: New Challenger, 8.75, 87010
None, 8.75, 30851
None, 8.75, 95950
None, 8.74, 326242
None, 8.74, 31035
None, 8.73, 332866
None, 8.73, 241914
Bakuman. 3rd Season, 8.72, 130734
None, 8.72, 991760
None, 8.68, 64821
None, 8.68, 109431
None, 8.67, 166394
None, 8.67, 271482
None, 8.67, 99642
None, 8.67, 94134
None, 8.67, 332837
None, 8.66, 386141
